run,dataset,target,method,seed,mean_score,max_score,min_score,median_score,diversity,unique_mutation_sites,seed_similarity,seed_novelty,best_delta_target_score,mean_delta_target_score_top_k
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed42,structural,Acinetobacter,entropy_diversity_novelty,42.0,0.1058931168859318,0.130846440960165,0.0998438902965169,0.1031884217317721,10.69877551020408,36.0,0.9989990770816805,0.0010009229183196,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed43,structural,Acinetobacter,entropy_diversity_novelty,43.0,0.1015379811549859,0.1155733790968047,0.0861150167547327,0.100378990411887,11.248979591836736,41.0,0.9993137431144714,0.0006862568855285,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed44,structural,Acinetobacter,entropy_diversity_novelty,44.0,0.1076089468117835,0.125518386861323,0.1031395050034454,0.1064912995356063,9.546938775510204,37.0,0.9991225636005402,0.0008774363994597,0.07135818531950498,0.06035168635501971
kleb_to_acinetobacter_structural_entropy_diversity_seed42,structural,Acinetobacter,entropy_diversity,42.0,0.1058931168859318,0.130846440960165,0.0998438902965169,0.1031884217317721,10.69877551020408,36.0,0.9989990770816805,0.0010009229183196,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_entropy_diversity_seed43,structural,Acinetobacter,entropy_diversity,43.0,0.101537981154986,0.1155733790968047,0.0861150167547327,0.100378990411887,11.248979591836736,41.0,0.9993137431144714,0.0006862568855285,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_entropy_diversity_seed44,structural,Acinetobacter,entropy_diversity,44.0,0.1076089468117835,0.125518386861323,0.1031395050034454,0.1064912995356063,9.546938775510204,37.0,0.9991225636005402,0.0008774363994597,0.07135818531950498,0.06035168635501971
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed42,structural_plus,Acinetobacter,entropy_diversity_novelty,42.0,0.1058931168859318,0.130846440960165,0.0998438902965169,0.1031884217317721,10.69877551020408,36.0,0.9989990770816805,0.0010009229183196,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed43,structural_plus,Acinetobacter,entropy_diversity_novelty,43.0,0.1015379811549859,0.1155733790968047,0.0861150167547327,0.100378990411887,11.248979591836736,41.0,0.9993137431144714,0.0006862568855285,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed44,structural_plus,Acinetobacter,entropy_diversity_novelty,44.0,0.1076089468117835,0.125518386861323,0.1031395050034454,0.1064912995356063,9.546938775510204,37.0,0.9991225636005402,0.0008774363994597,0.07135818531950498,0.06035168635501971
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed42,structural_plus,Acinetobacter,entropy_diversity,42.0,0.1058931168859318,0.130846440960165,0.0998438902965169,0.1031884217317721,10.69877551020408,36.0,0.9989990770816805,0.0010009229183196,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed43,structural_plus,Acinetobacter,entropy_diversity,43.0,0.101537981154986,0.1155733790968047,0.0861150167547327,0.100378990411887,11.248979591836736,41.0,0.9993137431144714,0.0006862568855285,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed44,structural_plus,Acinetobacter,entropy_diversity,44.0,0.1076089468117835,0.125518386861323,0.1031395050034454,0.1064912995356063,9.546938775510204,37.0,0.9991225636005402,0.0008774363994597,0.07135818531950498,0.06035168635501971
