dataset_name,model_name,seed,n_total,n_train,n_val,n_test,accuracy,macro_f1,weighted_f1,classes,use_class_weights,emb_path,idx_path
broad,mlp,42,3396,2708,351,337,0.3353115727002967,0.26504329258776355,0.27037525642790705,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",False,data/processed/esm2_embeddings.pt,data/processed/esm2_embeddings_index.csv
broad,linear_probe,42,3396,2708,351,337,0.6409495548961425,0.6721238068923484,0.6410465714413233,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",,data/processed/esm2_embeddings.pt,data/processed/esm2_embeddings_index.csv
broad,mlp,43,3396,2613,405,378,0.36772486772486773,0.28512965568349685,0.3178628004481144,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",False,data/processed/esm2_embeddings.pt,data/processed/esm2_embeddings_index.csv
broad,linear_probe,43,3396,2613,405,378,0.6349206349206349,0.6833688508273309,0.6414011295815124,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",,data/processed/esm2_embeddings.pt,data/processed/esm2_embeddings_index.csv
broad,mlp,44,3396,2703,402,291,0.3642611683848797,0.32939558715956224,0.37369278628803504,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",False,data/processed/esm2_embeddings.pt,data/processed/esm2_embeddings_index.csv
broad,linear_probe,44,3396,2703,402,291,0.7250859106529209,0.6621630174874376,0.7301388901971174,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",,data/processed/esm2_embeddings.pt,data/processed/esm2_embeddings_index.csv
strict,mlp,42,154,124,15,15,0.6666666666666666,0.34761904761904766,0.5711111111111111,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",False,data/processed/strict/esm2_embeddings.pt,data/processed/strict/esm2_embeddings_index.csv
strict,linear_probe,42,154,124,15,15,0.8,0.6547619047619049,0.7444444444444446,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",,data/processed/strict/esm2_embeddings.pt,data/processed/strict/esm2_embeddings_index.csv
strict,mlp,43,154,126,14,14,0.6428571428571429,0.43809523809523815,0.5761904761904761,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",False,data/processed/strict/esm2_embeddings.pt,data/processed/strict/esm2_embeddings_index.csv
strict,linear_probe,43,154,126,14,14,0.7857142857142857,0.6536796536796537,0.7294372294372293,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",,data/processed/strict/esm2_embeddings.pt,data/processed/strict/esm2_embeddings_index.csv
strict,mlp,44,154,125,15,14,0.6428571428571429,0.34761904761904766,0.5404761904761904,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",False,data/processed/strict/esm2_embeddings.pt,data/processed/strict/esm2_embeddings_index.csv
strict,linear_probe,44,154,125,15,14,0.6428571428571429,0.4790764790764791,0.5945165945165944,"['Acinetobacter', 'Enterobacter', 'Enterococcus', 'Escherichia', 'Klebsiella', 'Pseudomonas', 'Staphylococcus']",,data/processed/strict/esm2_embeddings.pt,data/processed/strict/esm2_embeddings_index.csv
