candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand26,132,0.999006986618042,0.0009930133819580078,QFR57578.1,Klebsiella,MN434096
round4_cand92,119,0.9990583658218384,0.0009416341781616211,WWD14686.1,Klebsiella,OR896848
round4_cand3,119,0.9989757537841797,0.0010242462158203125,WWD14686.1,Klebsiella,OR896848
round4_cand34,132,0.9985665082931519,0.0014334917068481445,QFR57578.1,Klebsiella,MN434096
round4_cand74,132,0.999030590057373,0.0009694099426269531,QFR57578.1,Klebsiella,MN434096
round4_cand54,132,0.9989244937896729,0.0010755062103271484,QFR57578.1,Klebsiella,MN434096
round4_cand88,132,0.9991099834442139,0.0008900165557861328,QFR57578.1,Klebsiella,MN434096
round4_cand94,132,0.9993080496788025,0.0006919503211975098,QFR57578.1,Klebsiella,MN434096
round4_cand309,132,0.9988093376159668,0.0011906623840332031,QFR57578.1,Klebsiella,MN434096
round4_cand328,132,0.9990655183792114,0.0009344816207885742,QFR57578.1,Klebsiella,MN434096
round4_cand272,132,0.9986362457275391,0.0013637542724609375,QFR57578.1,Klebsiella,MN434096
round4_cand358,132,0.9989405274391174,0.0010594725608825684,QFR57578.1,Klebsiella,MN434096
round4_cand365,132,0.9991494417190552,0.0008505582809448242,QFR57578.1,Klebsiella,MN434096
round4_cand61,132,0.999152660369873,0.0008473396301269531,QFR57578.1,Klebsiella,MN434096
round4_cand73,132,0.9991597533226013,0.0008402466773986816,QFR57578.1,Klebsiella,MN434096
round4_cand53,119,0.999129056930542,0.0008709430694580078,WWD14686.1,Klebsiella,OR896848
round4_cand32,132,0.9990543127059937,0.0009456872940063477,QFR57578.1,Klebsiella,MN434096
round4_cand232,119,0.9990856647491455,0.0009143352508544922,WWD14686.1,Klebsiella,OR896848
round4_cand110,132,0.9991542100906372,0.000845789909362793,QFR57578.1,Klebsiella,MN434096
round4_cand324,132,0.9991819858551025,0.0008180141448974609,QFR57578.1,Klebsiella,MN434096
round4_cand10,132,0.9991348385810852,0.0008651614189147949,QFR57578.1,Klebsiella,MN434096
round4_cand111,132,0.9992243647575378,0.0007756352424621582,QFR57578.1,Klebsiella,MN434096
round4_cand230,119,0.9990532398223877,0.0009467601776123047,WWD14686.1,Klebsiella,OR896848
round4_cand76,132,0.9988679885864258,0.0011320114135742188,QFR57578.1,Klebsiella,MN434096
round4_cand105,132,0.9990745186805725,0.0009254813194274902,QFR57578.1,Klebsiella,MN434096
round4_cand78,132,0.9990860223770142,0.0009139776229858398,QFR57578.1,Klebsiella,MN434096
round4_cand60,132,0.999213695526123,0.0007863044738769531,QFR57578.1,Klebsiella,MN434096
round4_cand150,132,0.9989295601844788,0.0010704398155212402,QFR57578.1,Klebsiella,MN434096
round4_cand296,132,0.9989314079284668,0.0010685920715332031,QFR57578.1,Klebsiella,MN434096
round4_cand368,132,0.9990510940551758,0.0009489059448242188,QFR57578.1,Klebsiella,MN434096
round4_cand239,119,0.9990240931510925,0.0009759068489074707,WWD14686.1,Klebsiella,OR896848
round4_cand335,132,0.9990106821060181,0.0009893178939819336,QFR57578.1,Klebsiella,MN434096
round4_cand136,132,0.9989590644836426,0.0010409355163574219,QFR57578.1,Klebsiella,MN434096
round4_cand12,132,0.999231219291687,0.0007687807083129883,QFR57578.1,Klebsiella,MN434096
round4_cand14,132,0.999204158782959,0.0007958412170410156,QFR57578.1,Klebsiella,MN434096
round4_cand124,132,0.9991668462753296,0.0008331537246704102,QFR57578.1,Klebsiella,MN434096
round4_cand72,132,0.999088704586029,0.0009112954139709473,QFR57578.1,Klebsiella,MN434096
round4_cand555,132,0.9989036917686462,0.0010963082313537598,QFR57578.1,Klebsiella,MN434096
round4_cand297,132,0.9991352558135986,0.0008647441864013672,QFR57578.1,Klebsiella,MN434096
round4_cand540,132,0.9990905523300171,0.0009094476699829102,QFR57578.1,Klebsiella,MN434096
round4_cand5,132,0.9992496967315674,0.0007503032684326172,QFR57578.1,Klebsiella,MN434096
round4_cand9,132,0.9990243315696716,0.0009756684303283691,QFR57578.1,Klebsiella,MN434096
round4_cand145,132,0.9988762140274048,0.0011237859725952148,QFR57578.1,Klebsiella,MN434096
round4_cand13,132,0.9992182850837708,0.000781714916229248,QFR57578.1,Klebsiella,MN434096
round4_cand39,132,0.999272346496582,0.0007276535034179688,QFR57578.1,Klebsiella,MN434096
round4_cand90,132,0.9989875555038452,0.0010124444961547852,QFR57578.1,Klebsiella,MN434096
round4_cand20,132,0.9987618923187256,0.001238107681274414,QFR57578.1,Klebsiella,MN434096
round4_cand323,132,0.9990648031234741,0.0009351968765258789,QFR57578.1,Klebsiella,MN434096
round4_cand364,132,0.9991200566291809,0.0008799433708190918,QFR57578.1,Klebsiella,MN434096
round4_cand222,119,0.9990502595901489,0.0009497404098510742,WWD14686.1,Klebsiella,OR896848
