candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round6_cand78,132,0.9978253841400146,0.0021746158599853516,QFR57578.1,Klebsiella,MN434096
round6_cand21,132,0.9979220628738403,0.002077937126159668,QFR57578.1,Klebsiella,MN434096
round6_cand43,132,0.9979482889175415,0.002051711082458496,QFR57578.1,Klebsiella,MN434096
round6_cand142,132,0.9988769292831421,0.0011230707168579102,QFR57578.1,Klebsiella,MN434096
round6_cand50,132,0.998005747795105,0.0019942522048950195,QFR57578.1,Klebsiella,MN434096
round6_cand629,132,0.9988347291946411,0.0011652708053588867,QFR57578.1,Klebsiella,MN434096
round6_cand547,132,0.9985239505767822,0.0014760494232177734,QFR57578.1,Klebsiella,MN434096
round6_cand1,132,0.9981611967086792,0.0018388032913208008,QFR57578.1,Klebsiella,MN434096
round6_cand11,132,0.9976218342781067,0.0023781657218933105,QFR57578.1,Klebsiella,MN434096
round6_cand336,132,0.9988513588905334,0.0011486411094665527,QFR57578.1,Klebsiella,MN434096
round6_cand222,132,0.999347448348999,0.0006525516510009766,QFR57578.1,Klebsiella,MN434096
round6_cand32,132,0.9979089498519897,0.002091050148010254,QFR57578.1,Klebsiella,MN434096
round6_cand285,132,0.999199628829956,0.0008003711700439453,QFR57578.1,Klebsiella,MN434096
round6_cand448,110,0.9990683794021606,0.0009316205978393555,QFR57428.1,Klebsiella,MN434094
round6_cand48,132,0.9981186389923096,0.0018813610076904297,QFR57578.1,Klebsiella,MN434096
round6_cand436,132,0.9993294477462769,0.0006705522537231445,QFR57578.1,Klebsiella,MN434096
round6_cand33,132,0.9984690546989441,0.0015309453010559082,QFR57578.1,Klebsiella,MN434096
round6_cand7,132,0.9987560510635376,0.0012439489364624023,QFR57578.1,Klebsiella,MN434096
round6_cand5,132,0.9982349872589111,0.0017650127410888672,QFR57578.1,Klebsiella,MN434096
round6_cand551,132,0.9990118741989136,0.0009881258010864258,QFR57578.1,Klebsiella,MN434096
round5_cand34,132,0.9994855523109436,0.0005144476890563965,QFR57578.1,Klebsiella,MN434096
round5_cand5,132,0.9992936849594116,0.0007063150405883789,QFR57578.1,Klebsiella,MN434096
round6_cand539,132,0.9990102052688599,0.0009897947311401367,QFR57578.1,Klebsiella,MN434096
round6_cand531,132,0.9992069005966187,0.0007930994033813477,QFR57578.1,Klebsiella,MN434096
round6_cand563,132,0.99925696849823,0.0007430315017700195,QFR57578.1,Klebsiella,MN434096
round5_cand174,132,0.9992862939834595,0.0007137060165405273,QFR57578.1,Klebsiella,MN434096
round5_cand371,132,0.9994684457778931,0.0005315542221069336,QFR57578.1,Klebsiella,MN434096
round5_cand6,132,0.9993776082992554,0.0006223917007446289,QFR57578.1,Klebsiella,MN434096
round5_cand45,132,0.9995421171188354,0.0004578828811645508,QFR57578.1,Klebsiella,MN434096
round5_cand433,132,0.9993693232536316,0.0006306767463684082,QFR57578.1,Klebsiella,MN434096
round5_cand493,132,0.9994899034500122,0.000510096549987793,QFR57578.1,Klebsiella,MN434096
round5_cand504,132,0.999547004699707,0.00045299530029296875,QFR57578.1,Klebsiella,MN434096
round6_cand533,132,0.9991236925125122,0.000876307487487793,QFR57578.1,Klebsiella,MN434096
round5_cand304,132,0.9996575713157654,0.00034242868423461914,QFR57578.1,Klebsiella,MN434096
round5_cand74,132,0.9995282888412476,0.0004717111587524414,QFR57578.1,Klebsiella,MN434096
round6_cand566,132,0.9992920756340027,0.0007079243659973145,QFR57578.1,Klebsiella,MN434096
round6_cand567,132,0.9992800951004028,0.000719904899597168,QFR57578.1,Klebsiella,MN434096
round5_cand253,132,0.9993067979812622,0.000693202018737793,QFR57578.1,Klebsiella,MN434096
round5_cand526,132,0.9995342493057251,0.00046575069427490234,QFR57578.1,Klebsiella,MN434096
round6_cand51,132,0.9984440803527832,0.0015559196472167969,QFR57578.1,Klebsiella,MN434096
round5_cand615,110,0.9992344379425049,0.0007655620574951172,QFR57428.1,Klebsiella,MN434094
round6_cand553,132,0.9993683099746704,0.0006316900253295898,QFR57578.1,Klebsiella,MN434096
round5_cand498,132,0.9994856119155884,0.0005143880844116211,QFR57578.1,Klebsiella,MN434096
round5_cand573,132,0.9995694756507874,0.0004305243492126465,QFR57578.1,Klebsiella,MN434096
round5_cand556,132,0.9995725154876709,0.00042748451232910156,QFR57578.1,Klebsiella,MN434096
round5_cand52,132,0.9994916915893555,0.0005083084106445312,QFR57578.1,Klebsiella,MN434096
round5_cand461,132,0.9995653629302979,0.00043463706970214844,QFR57578.1,Klebsiella,MN434096
round5_cand29,132,0.9994173049926758,0.0005826950073242188,QFR57578.1,Klebsiella,MN434096
round5_cand41,132,0.999521017074585,0.00047898292541503906,QFR57578.1,Klebsiella,MN434096
round5_cand519,132,0.9995474219322205,0.000452578067779541,QFR57578.1,Klebsiella,MN434096
