candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand572,132,0.9996980428695679,0.0003019571304321289,QFR57578.1,Klebsiella,MN434096
round4_cand115,132,0.9995313882827759,0.0004686117172241211,QFR57578.1,Klebsiella,MN434096
round4_cand544,132,0.9996591210365295,0.000340878963470459,QFR57578.1,Klebsiella,MN434096
round4_cand15,132,0.9993348121643066,0.0006651878356933594,QFR57578.1,Klebsiella,MN434096
round4_cand336,132,0.9994362592697144,0.0005637407302856445,QFR57578.1,Klebsiella,MN434096
round4_cand122,132,0.9995315670967102,0.0004684329032897949,QFR57578.1,Klebsiella,MN434096
round4_cand446,132,0.9996978044509888,0.00030219554901123047,QFR57578.1,Klebsiella,MN434096
round4_cand267,132,0.9995893239974976,0.0004106760025024414,QFR57578.1,Klebsiella,MN434096
round4_cand284,132,0.9997332096099854,0.00026679039001464844,QFR57578.1,Klebsiella,MN434096
round4_cand448,132,0.9992144107818604,0.0007855892181396484,QFR57578.1,Klebsiella,MN434096
round4_cand68,132,0.9995260238647461,0.00047397613525390625,QFR57578.1,Klebsiella,MN434096
round4_cand50,132,0.9993852376937866,0.0006147623062133789,QFR57578.1,Klebsiella,MN434096
round4_cand210,132,0.9991998672485352,0.0008001327514648438,QFR57578.1,Klebsiella,MN434096
round4_cand387,132,0.9995371103286743,0.0004628896713256836,QFR57578.1,Klebsiella,MN434096
round4_cand408,132,0.9995951652526855,0.0004048347473144531,QFR57578.1,Klebsiella,MN434096
round4_cand189,132,0.9991012811660767,0.0008987188339233398,QFR57578.1,Klebsiella,MN434096
round4_cand306,132,0.9996090531349182,0.0003909468650817871,QFR57578.1,Klebsiella,MN434096
round4_cand158,132,0.9989683628082275,0.001031637191772461,QFR57578.1,Klebsiella,MN434096
round4_cand249,132,0.9991945028305054,0.0008054971694946289,QFR57578.1,Klebsiella,MN434096
round4_cand266,132,0.9997113943099976,0.0002886056900024414,QFR57578.1,Klebsiella,MN434096
round4_cand37,132,0.9992945194244385,0.0007054805755615234,QFR57578.1,Klebsiella,MN434096
round4_cand529,132,0.9996808171272278,0.0003191828727722168,QFR57578.1,Klebsiella,MN434096
round4_cand507,132,0.999017596244812,0.0009824037551879883,QFR57578.1,Klebsiella,MN434096
round4_cand216,132,0.9990806579589844,0.000919342041015625,QFR57578.1,Klebsiella,MN434096
round4_cand170,132,0.9990752935409546,0.0009247064590454102,QFR57578.1,Klebsiella,MN434096
round4_cand135,132,0.9990205764770508,0.0009794235229492188,QFR57578.1,Klebsiella,MN434096
round4_cand169,132,0.9989404082298279,0.0010595917701721191,QFR57578.1,Klebsiella,MN434096
round4_cand22,132,0.999072790145874,0.0009272098541259766,QFR57578.1,Klebsiella,MN434096
round4_cand305,132,0.9996761083602905,0.00032389163970947266,QFR57578.1,Klebsiella,MN434096
round4_cand543,132,0.9996473789215088,0.00035262107849121094,QFR57578.1,Klebsiella,MN434096
round4_cand70,132,0.9994213581085205,0.0005786418914794922,QFR57578.1,Klebsiella,MN434096
round4_cand132,132,0.9989957809448242,0.0010042190551757812,QFR57578.1,Klebsiella,MN434096
round4_cand357,132,0.999594509601593,0.0004054903984069824,QFR57578.1,Klebsiella,MN434096
round4_cand217,132,0.9992126226425171,0.0007873773574829102,QFR57578.1,Klebsiella,MN434096
round4_cand155,132,0.9989138245582581,0.0010861754417419434,QFR57578.1,Klebsiella,MN434096
round4_cand153,132,0.9990766644477844,0.0009233355522155762,QFR57578.1,Klebsiella,MN434096
round4_cand187,132,0.9991757869720459,0.0008242130279541016,QFR57578.1,Klebsiella,MN434096
round4_cand108,132,0.9995366930961609,0.00046330690383911133,QFR57578.1,Klebsiella,MN434096
round4_cand182,132,0.9989438056945801,0.0010561943054199219,QFR57578.1,Klebsiella,MN434096
round4_cand3,132,0.9990243911743164,0.0009756088256835938,QFR57578.1,Klebsiella,MN434096
round4_cand454,132,0.9993689060211182,0.0006310939788818359,QFR57578.1,Klebsiella,MN434096
round4_cand499,132,0.9992951154708862,0.0007048845291137695,QFR57578.1,Klebsiella,MN434096
round4_cand95,132,0.9994790554046631,0.0005209445953369141,QFR57578.1,Klebsiella,MN434096
round4_cand318,132,0.9996050596237183,0.0003949403762817383,QFR57578.1,Klebsiella,MN434096
round4_cand139,132,0.9991576671600342,0.0008423328399658203,QFR57578.1,Klebsiella,MN434096
round4_cand197,132,0.9993311166763306,0.0006688833236694336,QFR57578.1,Klebsiella,MN434096
round4_cand630,132,0.9996839761734009,0.0003160238265991211,QFR57578.1,Klebsiella,MN434096
round4_cand12,132,0.9993714094161987,0.0006285905838012695,QFR57578.1,Klebsiella,MN434096
round4_cand360,132,0.9996376633644104,0.0003623366355895996,QFR57578.1,Klebsiella,MN434096
round4_cand569,132,0.9997575879096985,0.00024241209030151367,QFR57578.1,Klebsiella,MN434096
