candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand102,119,0.999211311340332,0.0007886886596679688,WWD14686.1,Klebsiella,OR896848
round4_cand97,119,0.999366283416748,0.0006337165832519531,WWD14686.1,Klebsiella,OR896848
round4_cand46,132,0.9985816478729248,0.0014183521270751953,QFR57578.1,Klebsiella,MN434096
round4_cand149,132,0.9992683529853821,0.0007316470146179199,QFR57578.1,Klebsiella,MN434096
round4_cand134,132,0.9992181062698364,0.0007818937301635742,QFR57578.1,Klebsiella,MN434096
round4_cand22,132,0.998613178730011,0.0013868212699890137,QFR57578.1,Klebsiella,MN434096
round4_cand205,132,0.9990483522415161,0.0009516477584838867,QFR57578.1,Klebsiella,MN434096
round4_cand37,132,0.9987451434135437,0.0012548565864562988,QFR57578.1,Klebsiella,MN434096
round4_cand595,132,0.9989125728607178,0.0010874271392822266,QFR57578.1,Klebsiella,MN434096
round4_cand315,119,0.9990370273590088,0.0009629726409912109,WWD14686.1,Klebsiella,OR896848
round4_cand78,119,0.999398946762085,0.0006010532379150391,WWD14686.1,Klebsiella,OR896848
round4_cand299,119,0.9990444183349609,0.0009555816650390625,WWD14686.1,Klebsiella,OR896848
round4_cand481,132,0.9992008209228516,0.0007991790771484375,QFR57578.1,Klebsiella,MN434096
round4_cand305,119,0.999064564704895,0.0009354352951049805,WWD14686.1,Klebsiella,OR896848
round4_cand341,132,0.9991066455841064,0.0008933544158935547,QFR57578.1,Klebsiella,MN434096
round4_cand41,132,0.9987103939056396,0.0012896060943603516,QFR57578.1,Klebsiella,MN434096
round4_cand159,119,0.9992619156837463,0.0007380843162536621,WWD14686.1,Klebsiella,OR896848
round4_cand318,119,0.9991016983985901,0.0008983016014099121,WWD14686.1,Klebsiella,OR896848
round4_cand237,132,0.9989663362503052,0.0010336637496948242,QFR57578.1,Klebsiella,MN434096
round4_cand26,132,0.9989873170852661,0.0010126829147338867,QFR57578.1,Klebsiella,MN434096
round4_cand126,132,0.9994679689407349,0.0005320310592651367,QFR57578.1,Klebsiella,MN434096
round4_cand239,132,0.9991776347160339,0.0008223652839660645,QFR57578.1,Klebsiella,MN434096
round4_cand125,132,0.9994024038314819,0.0005975961685180664,QFR57578.1,Klebsiella,MN434096
round4_cand409,119,0.998841404914856,0.001158595085144043,WWD14686.1,Klebsiella,OR896848
round4_cand47,132,0.9988882541656494,0.001111745834350586,QFR57578.1,Klebsiella,MN434096
round4_cand12,132,0.9986138343811035,0.0013861656188964844,QFR57578.1,Klebsiella,MN434096
round4_cand154,119,0.9993264079093933,0.0006735920906066895,WWD14686.1,Klebsiella,OR896848
round4_cand182,132,0.9991689920425415,0.0008310079574584961,QFR57578.1,Klebsiella,MN434096
round4_cand394,132,0.9989649653434753,0.0010350346565246582,QFR57578.1,Klebsiella,MN434096
round4_cand121,119,0.9994474649429321,0.0005525350570678711,WWD14686.1,Klebsiella,OR896848
round4_cand165,119,0.9990466833114624,0.0009533166885375977,WWD14686.1,Klebsiella,OR896848
round4_cand323,132,0.9991108179092407,0.0008891820907592773,QFR57578.1,Klebsiella,MN434096
round4_cand252,132,0.999046266078949,0.0009537339210510254,QFR57578.1,Klebsiella,MN434096
round4_cand33,132,0.9987879991531372,0.001212000846862793,QFR57578.1,Klebsiella,MN434096
round4_cand133,132,0.9992930889129639,0.0007069110870361328,QFR57578.1,Klebsiella,MN434096
round4_cand110,132,0.9993900060653687,0.0006099939346313477,QFR57578.1,Klebsiella,MN434096
round4_cand197,132,0.9993284344673157,0.0006715655326843262,QFR57578.1,Klebsiella,MN434096
round4_cand196,132,0.999293863773346,0.0007061362266540527,QFR57578.1,Klebsiella,MN434096
round4_cand253,132,0.9991282820701599,0.0008717179298400879,QFR57578.1,Klebsiella,MN434096
round4_cand64,119,0.9994069337844849,0.0005930662155151367,WWD14686.1,Klebsiella,OR896848
round4_cand61,132,0.9988037347793579,0.0011962652206420898,QFR57578.1,Klebsiella,MN434096
round4_cand543,132,0.9993501901626587,0.0006498098373413086,QFR57578.1,Klebsiella,MN434096
round4_cand478,132,0.9993071556091309,0.0006928443908691406,QFR57578.1,Klebsiella,MN434096
round4_cand80,119,0.9994761347770691,0.0005238652229309082,WWD14686.1,Klebsiella,OR896848
round4_cand52,132,0.9988453388214111,0.0011546611785888672,QFR57578.1,Klebsiella,MN434096
round4_cand354,132,0.9991074800491333,0.0008925199508666992,QFR57578.1,Klebsiella,MN434096
round4_cand207,132,0.9988957643508911,0.0011042356491088867,QFR57578.1,Klebsiella,MN434096
round4_cand76,119,0.9994360208511353,0.0005639791488647461,WWD14686.1,Klebsiella,OR896848
round4_cand295,119,0.9990751147270203,0.0009248852729797363,WWD14686.1,Klebsiella,OR896848
round4_cand56,132,0.9988909959793091,0.001109004020690918,QFR57578.1,Klebsiella,MN434096
