candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round6_cand583,132,0.9992626905441284,0.000737309455871582,QFR57578.1,Klebsiella,MN434096
round6_cand385,132,0.9990260004997253,0.0009739995002746582,QFR57578.1,Klebsiella,MN434096
round6_cand118,132,0.9984883069992065,0.001511693000793457,QFR57578.1,Klebsiella,MN434096
round6_cand28,132,0.9993866682052612,0.0006133317947387695,QFR57578.1,Klebsiella,MN434096
round6_cand495,132,0.9991319179534912,0.0008680820465087891,QFR57578.1,Klebsiella,MN434096
round6_cand64,132,0.9989486932754517,0.0010513067245483398,QFR57578.1,Klebsiella,MN434096
round6_cand622,132,0.9992190599441528,0.000780940055847168,QFR57578.1,Klebsiella,MN434096
round6_cand128,132,0.9988616704940796,0.0011383295059204102,QFR57578.1,Klebsiella,MN434096
round6_cand239,132,0.9991243481636047,0.0008756518363952637,QFR57578.1,Klebsiella,MN434096
round6_cand21,132,0.9993698596954346,0.0006301403045654297,QFR57578.1,Klebsiella,MN434096
round6_cand199,132,0.9991881847381592,0.0008118152618408203,QFR57578.1,Klebsiella,MN434096
round6_cand412,132,0.9992736577987671,0.0007263422012329102,QFR57578.1,Klebsiella,MN434096
round6_cand7,132,0.9994516372680664,0.0005483627319335938,QFR57578.1,Klebsiella,MN434096
round6_cand31,132,0.9994665384292603,0.0005334615707397461,QFR57578.1,Klebsiella,MN434096
round6_cand211,132,0.9992260932922363,0.0007739067077636719,QFR57578.1,Klebsiella,MN434096
round6_cand22,132,0.9994264245033264,0.000573575496673584,QFR57578.1,Klebsiella,MN434096
round6_cand27,132,0.9993762969970703,0.0006237030029296875,QFR57578.1,Klebsiella,MN434096
round6_cand456,132,0.999305009841919,0.0006949901580810547,QFR57578.1,Klebsiella,MN434096
round6_cand110,132,0.9991044998168945,0.0008955001831054688,QFR57578.1,Klebsiella,MN434096
round6_cand482,132,0.9993078708648682,0.0006921291351318359,QFR57578.1,Klebsiella,MN434096
round6_cand604,132,0.999117374420166,0.0008826255798339844,QFR57578.1,Klebsiella,MN434096
round6_cand145,132,0.9992743730545044,0.0007256269454956055,QFR57578.1,Klebsiella,MN434096
round6_cand38,132,0.9993361830711365,0.0006638169288635254,QFR57578.1,Klebsiella,MN434096
round6_cand237,132,0.9992952346801758,0.0007047653198242188,QFR57578.1,Klebsiella,MN434096
round6_cand614,132,0.9992256164550781,0.000774383544921875,QFR57578.1,Klebsiella,MN434096
round6_cand99,132,0.9990553855895996,0.0009446144104003906,QFR57578.1,Klebsiella,MN434096
round6_cand53,132,0.9994707703590393,0.0005292296409606934,QFR57578.1,Klebsiella,MN434096
round6_cand95,132,0.9989446401596069,0.0010553598403930664,QFR57578.1,Klebsiella,MN434096
round6_cand334,132,0.9990874528884888,0.0009125471115112305,QFR57578.1,Klebsiella,MN434096
round6_cand193,132,0.9990783929824829,0.0009216070175170898,QFR57578.1,Klebsiella,MN434096
round6_cand131,132,0.9992357492446899,0.0007642507553100586,QFR57578.1,Klebsiella,MN434096
round6_cand73,132,0.9990415573120117,0.0009584426879882812,QFR57578.1,Klebsiella,MN434096
round6_cand3,132,0.9993091821670532,0.0006908178329467773,QFR57578.1,Klebsiella,MN434096
round6_cand17,132,0.9994322061538696,0.0005677938461303711,QFR57578.1,Klebsiella,MN434096
round6_cand10,132,0.999427080154419,0.0005729198455810547,QFR57578.1,Klebsiella,MN434096
round6_cand5,132,0.9994717240333557,0.0005282759666442871,QFR57578.1,Klebsiella,MN434096
round6_cand358,132,0.9992544651031494,0.0007455348968505859,QFR57578.1,Klebsiella,MN434096
round6_cand287,132,0.999199628829956,0.0008003711700439453,QFR57578.1,Klebsiella,MN434096
round6_cand52,132,0.9992947578430176,0.0007052421569824219,QFR57578.1,Klebsiella,MN434096
round6_cand630,132,0.9992818832397461,0.0007181167602539062,QFR57578.1,Klebsiella,MN434096
round6_cand194,132,0.9993501901626587,0.0006498098373413086,QFR57578.1,Klebsiella,MN434096
round6_cand8,132,0.9994692802429199,0.0005307197570800781,QFR57578.1,Klebsiella,MN434096
round6_cand223,132,0.9990063905715942,0.0009936094284057617,QFR57578.1,Klebsiella,MN434096
round6_cand301,132,0.9993631839752197,0.0006368160247802734,QFR57578.1,Klebsiella,MN434096
round6_cand48,132,0.9994226694107056,0.0005773305892944336,QFR57578.1,Klebsiella,MN434096
round6_cand259,132,0.9980743527412415,0.001925647258758545,QFR57578.1,Klebsiella,MN434096
round6_cand75,132,0.9987788200378418,0.0012211799621582031,QFR57578.1,Klebsiella,MN434096
round6_cand141,132,0.9991576075553894,0.0008423924446105957,QFR57578.1,Klebsiella,MN434096
round6_cand54,132,0.9994332790374756,0.0005667209625244141,QFR57578.1,Klebsiella,MN434096
round6_cand208,132,0.9992309808731079,0.0007690191268920898,QFR57578.1,Klebsiella,MN434096
