candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand258,132,0.9992734789848328,0.0007265210151672363,QFR57578.1,Klebsiella,MN434096
round4_cand620,132,0.9989354610443115,0.0010645389556884766,QFR57578.1,Klebsiella,MN434096
round4_cand218,132,0.998742938041687,0.0012570619583129883,QFR57578.1,Klebsiella,MN434096
round4_cand181,132,0.9987537860870361,0.0012462139129638672,QFR57578.1,Klebsiella,MN434096
round4_cand24,132,0.99901282787323,0.0009871721267700195,QFR57578.1,Klebsiella,MN434096
round4_cand35,132,0.9991754293441772,0.0008245706558227539,QFR57578.1,Klebsiella,MN434096
round4_cand34,132,0.9991252422332764,0.0008747577667236328,QFR57578.1,Klebsiella,MN434096
round4_cand157,132,0.9992329478263855,0.000767052173614502,QFR57578.1,Klebsiella,MN434096
round4_cand130,132,0.9987016320228577,0.001298367977142334,QFR57578.1,Klebsiella,MN434096
round4_cand349,132,0.9992581605911255,0.0007418394088745117,QFR57578.1,Klebsiella,MN434096
round4_cand37,132,0.9991120100021362,0.0008879899978637695,QFR57578.1,Klebsiella,MN434096
round4_cand11,132,0.9993634819984436,0.0006365180015563965,QFR57578.1,Klebsiella,MN434096
round4_cand22,132,0.9991620779037476,0.0008379220962524414,QFR57578.1,Klebsiella,MN434096
round4_cand67,132,0.9988856315612793,0.0011143684387207031,QFR57578.1,Klebsiella,MN434096
round4_cand141,132,0.9989038705825806,0.0010961294174194336,QFR57578.1,Klebsiella,MN434096
round4_cand88,132,0.9992258548736572,0.0007741451263427734,QFR57578.1,Klebsiella,MN434096
round4_cand123,132,0.9990489482879639,0.0009510517120361328,QFR57578.1,Klebsiella,MN434096
round4_cand302,132,0.9990576505661011,0.0009423494338989258,QFR57578.1,Klebsiella,MN434096
round4_cand313,132,0.999386727809906,0.0006132721900939941,QFR57578.1,Klebsiella,MN434096
round4_cand221,132,0.9990659952163696,0.0009340047836303711,QFR57578.1,Klebsiella,MN434096
round4_cand252,132,0.9992820024490356,0.0007179975509643555,QFR57578.1,Klebsiella,MN434096
round4_cand63,132,0.9991180896759033,0.0008819103240966797,QFR57578.1,Klebsiella,MN434096
round4_cand7,132,0.9992537498474121,0.0007462501525878906,QFR57578.1,Klebsiella,MN434096
round4_cand298,132,0.9992541074752808,0.0007458925247192383,QFR57578.1,Klebsiella,MN434096
round4_cand261,132,0.9992729425430298,0.0007270574569702148,QFR57578.1,Klebsiella,MN434096
round4_cand170,132,0.999189019203186,0.0008109807968139648,QFR57578.1,Klebsiella,MN434096
round4_cand6,132,0.9992926120758057,0.0007073879241943359,QFR57578.1,Klebsiella,MN434096
round4_cand227,132,0.9992627501487732,0.0007372498512268066,QFR57578.1,Klebsiella,MN434096
round4_cand18,132,0.9990673065185547,0.0009326934814453125,QFR57578.1,Klebsiella,MN434096
round4_cand337,132,0.9992080926895142,0.0007919073104858398,QFR57578.1,Klebsiella,MN434096
round4_cand70,132,0.9991477727890015,0.0008522272109985352,QFR57578.1,Klebsiella,MN434096
round4_cand125,132,0.9992900490760803,0.0007099509239196777,QFR57578.1,Klebsiella,MN434096
round4_cand97,132,0.9993312358856201,0.0006687641143798828,QFR57578.1,Klebsiella,MN434096
round4_cand21,132,0.9990429878234863,0.0009570121765136719,QFR57578.1,Klebsiella,MN434096
round4_cand637,132,0.9989850521087646,0.0010149478912353516,QFR57578.1,Klebsiella,MN434096
round4_cand224,132,0.9992966651916504,0.0007033348083496094,QFR57578.1,Klebsiella,MN434096
round4_cand505,132,0.9987436532974243,0.0012563467025756836,QFR57578.1,Klebsiella,MN434096
round4_cand193,132,0.9992307424545288,0.0007692575454711914,QFR57578.1,Klebsiella,MN434096
round4_cand267,132,0.9993438720703125,0.0006561279296875,QFR57578.1,Klebsiella,MN434096
round4_cand111,132,0.9990706443786621,0.0009293556213378906,QFR57578.1,Klebsiella,MN434096
round4_cand296,132,0.9991196393966675,0.0008803606033325195,QFR57578.1,Klebsiella,MN434096
round4_cand62,132,0.9993404746055603,0.0006595253944396973,QFR57578.1,Klebsiella,MN434096
round4_cand468,132,0.9990598559379578,0.0009401440620422363,QFR57578.1,Klebsiella,MN434096
round4_cand375,132,0.9988763332366943,0.001123666763305664,QFR57578.1,Klebsiella,MN434096
round4_cand20,132,0.9992657899856567,0.0007342100143432617,QFR57578.1,Klebsiella,MN434096
round4_cand322,132,0.9988843202590942,0.0011156797409057617,QFR57578.1,Klebsiella,MN434096
round4_cand121,132,0.9990957975387573,0.0009042024612426758,QFR57578.1,Klebsiella,MN434096
round4_cand0,132,0.9994078874588013,0.0005921125411987305,QFR57578.1,Klebsiella,MN434096
round4_cand449,132,0.9992150068283081,0.0007849931716918945,QFR57578.1,Klebsiella,MN434096
round4_cand588,132,0.9991663098335266,0.0008336901664733887,QFR57578.1,Klebsiella,MN434096
