candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round6_cand22,132,0.9977061748504639,0.002293825149536133,QFR57578.1,Klebsiella,MN434096
round6_cand188,132,0.9972396492958069,0.0027603507041931152,QFR57578.1,Klebsiella,MN434096
round6_cand87,132,0.9966931939125061,0.0033068060874938965,QFR57578.1,Klebsiella,MN434096
round6_cand31,132,0.9970184564590454,0.00298154354095459,QFR57578.1,Klebsiella,MN434096
round6_cand202,132,0.997377872467041,0.0026221275329589844,QFR57578.1,Klebsiella,MN434096
round6_cand324,132,0.9969519376754761,0.0030480623245239258,QFR57578.1,Klebsiella,MN434096
round6_cand570,132,0.9967877864837646,0.0032122135162353516,QFR57578.1,Klebsiella,MN434096
round6_cand290,132,0.9973092079162598,0.0026907920837402344,QFR57578.1,Klebsiella,MN434096
round6_cand63,132,0.9967749118804932,0.003225088119506836,QFR57578.1,Klebsiella,MN434096
round6_cand373,119,0.9972569942474365,0.0027430057525634766,WWD14686.1,Klebsiella,OR896848
round6_cand415,132,0.9978022575378418,0.002197742462158203,QFR57578.1,Klebsiella,MN434096
round6_cand186,132,0.9968966245651245,0.0031033754348754883,QFR57578.1,Klebsiella,MN434096
round6_cand440,132,0.9968410730361938,0.0031589269638061523,QFR57578.1,Klebsiella,MN434096
round6_cand610,132,0.9974370002746582,0.002562999725341797,QFR57578.1,Klebsiella,MN434096
round6_cand342,132,0.9970592260360718,0.0029407739639282227,QFR57578.1,Klebsiella,MN434096
round6_cand460,132,0.9978973865509033,0.0021026134490966797,QFR57578.1,Klebsiella,MN434096
round6_cand89,132,0.9965763092041016,0.0034236907958984375,QFR57578.1,Klebsiella,MN434096
round6_cand416,132,0.9978785514831543,0.002121448516845703,QFR57578.1,Klebsiella,MN434096
round6_cand34,132,0.997701108455658,0.002298891544342041,QFR57578.1,Klebsiella,MN434096
round6_cand183,132,0.9971469044685364,0.002853095531463623,QFR57578.1,Klebsiella,MN434096
round6_cand154,132,0.9972869157791138,0.0027130842208862305,QFR57578.1,Klebsiella,MN434096
round6_cand633,132,0.9977428317070007,0.0022571682929992676,QFR57578.1,Klebsiella,MN434096
round6_cand624,132,0.9974448680877686,0.0025551319122314453,QFR57578.1,Klebsiella,MN434096
round5_cand180,132,0.9972783327102661,0.0027216672897338867,QFR57578.1,Klebsiella,MN434096
round6_cand532,132,0.9968147277832031,0.003185272216796875,QFR57578.1,Klebsiella,MN434096
round5_cand300,132,0.9982960224151611,0.0017039775848388672,QFR57578.1,Klebsiella,MN434096
round6_cand332,119,0.9968564510345459,0.0031435489654541016,WWD14686.1,Klebsiella,OR896848
round5_cand1,132,0.9981958866119385,0.0018041133880615234,QFR57578.1,Klebsiella,MN434096
round6_cand611,132,0.9977840185165405,0.0022159814834594727,QFR57578.1,Klebsiella,MN434096
round6_cand385,132,0.9976383447647095,0.0023616552352905273,QFR57578.1,Klebsiella,MN434096
round5_cand96,132,0.9981262683868408,0.0018737316131591797,QFR57578.1,Klebsiella,MN434096
round5_cand639,132,0.9976998567581177,0.0023001432418823242,QFR57578.1,Klebsiella,MN434096
round5_cand510,132,0.9978944063186646,0.0021055936813354492,QFR57578.1,Klebsiella,MN434096
round5_cand368,132,0.9985672235488892,0.0014327764511108398,QFR57578.1,Klebsiella,MN434096
round5_cand196,132,0.9984520673751831,0.0015479326248168945,QFR57578.1,Klebsiella,MN434096
round6_cand537,132,0.9965811967849731,0.0034188032150268555,QFR57578.1,Klebsiella,MN434096
round6_cand336,132,0.9976082444190979,0.0023917555809020996,QFR57578.1,Klebsiella,MN434096
round5_cand364,132,0.9992141723632812,0.00078582763671875,QFR57578.1,Klebsiella,MN434096
round5_cand517,132,0.9976325035095215,0.0023674964904785156,QFR57578.1,Klebsiella,MN434096
round5_cand409,132,0.9974808692932129,0.0025191307067871094,QFR57578.1,Klebsiella,MN434096
round5_cand560,132,0.9981183409690857,0.0018816590309143066,QFR57578.1,Klebsiella,MN434096
round5_cand282,132,0.9984274506568909,0.0015725493431091309,QFR57578.1,Klebsiella,MN434096
round5_cand290,132,0.9986484050750732,0.0013515949249267578,QFR57578.1,Klebsiella,MN434096
round5_cand525,132,0.9983536005020142,0.0016463994979858398,QFR57578.1,Klebsiella,MN434096
round5_cand15,132,0.9981772899627686,0.0018227100372314453,QFR57578.1,Klebsiella,MN434096
round4_cand114,132,0.9978578686714172,0.0021421313285827637,QFR57578.1,Klebsiella,MN434096
round5_cand539,132,0.9982231855392456,0.0017768144607543945,QFR57578.1,Klebsiella,MN434096
round4_cand22,132,0.9986624121665955,0.001337587833404541,QFR57578.1,Klebsiella,MN434096
round4_cand128,132,0.9988669157028198,0.0011330842971801758,QFR57578.1,Klebsiella,MN434096
round5_cand336,132,0.9987581968307495,0.0012418031692504883,QFR57578.1,Klebsiella,MN434096
