candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand48,132,0.9990508556365967,0.0009491443634033203,QFR57578.1,Klebsiella,MN434096
round4_cand148,132,0.9987152814865112,0.0012847185134887695,QFR57578.1,Klebsiella,MN434096
round4_cand116,132,0.9990953803062439,0.0009046196937561035,QFR57578.1,Klebsiella,MN434096
round4_cand229,132,0.999129056930542,0.0008709430694580078,QFR57578.1,Klebsiella,MN434096
round4_cand71,132,0.9990123510360718,0.0009876489639282227,QFR57578.1,Klebsiella,MN434096
round4_cand230,132,0.9991316795349121,0.0008683204650878906,QFR57578.1,Klebsiella,MN434096
round4_cand551,132,0.999137282371521,0.0008627176284790039,QFR57578.1,Klebsiella,MN434096
round4_cand22,132,0.9992146492004395,0.0007853507995605469,QFR57578.1,Klebsiella,MN434096
round4_cand173,132,0.998942494392395,0.0010575056076049805,QFR57578.1,Klebsiella,MN434096
round4_cand178,132,0.9985086917877197,0.0014913082122802734,QFR57578.1,Klebsiella,MN434096
round4_cand312,132,0.9989943504333496,0.0010056495666503906,QFR57578.1,Klebsiella,MN434096
round4_cand41,132,0.9992605447769165,0.0007394552230834961,QFR57578.1,Klebsiella,MN434096
round4_cand614,132,0.9992512464523315,0.000748753547668457,QFR57578.1,Klebsiella,MN434096
round4_cand1,132,0.998929500579834,0.0010704994201660156,QFR57578.1,Klebsiella,MN434096
round4_cand106,132,0.9991663694381714,0.0008336305618286133,QFR57578.1,Klebsiella,MN434096
round4_cand637,132,0.9992601871490479,0.0007398128509521484,QFR57578.1,Klebsiella,MN434096
round4_cand307,132,0.9990415573120117,0.0009584426879882812,QFR57578.1,Klebsiella,MN434096
round4_cand4,132,0.9991846084594727,0.0008153915405273438,QFR57578.1,Klebsiella,MN434096
round4_cand169,132,0.9988482594490051,0.001151740550994873,QFR57578.1,Klebsiella,MN434096
round4_cand129,132,0.9991017580032349,0.0008982419967651367,QFR57578.1,Klebsiella,MN434096
round4_cand315,132,0.9992429614067078,0.0007570385932922363,QFR57578.1,Klebsiella,MN434096
round4_cand87,132,0.9992121458053589,0.0007878541946411133,QFR57578.1,Klebsiella,MN434096
round4_cand436,132,0.9987465143203735,0.0012534856796264648,QFR57578.1,Klebsiella,MN434096
round4_cand141,132,0.9990677833557129,0.0009322166442871094,QFR57578.1,Klebsiella,MN434096
round4_cand64,132,0.9992128610610962,0.0007871389389038086,QFR57578.1,Klebsiella,MN434096
round4_cand356,132,0.9992018938064575,0.0007981061935424805,QFR57578.1,Klebsiella,MN434096
round4_cand61,132,0.9992398619651794,0.0007601380348205566,QFR57578.1,Klebsiella,MN434096
round4_cand357,132,0.9991682767868042,0.0008317232131958008,QFR57578.1,Klebsiella,MN434096
round4_cand600,132,0.999424934387207,0.0005750656127929688,QFR57578.1,Klebsiella,MN434096
round4_cand518,132,0.9993173480033875,0.0006826519966125488,QFR57578.1,Klebsiella,MN434096
round4_cand119,132,0.9993104934692383,0.0006895065307617188,QFR57578.1,Klebsiella,MN434096
round4_cand406,132,0.9990749955177307,0.0009250044822692871,QFR57578.1,Klebsiella,MN434096
round4_cand439,132,0.9991459250450134,0.0008540749549865723,QFR57578.1,Klebsiella,MN434096
round4_cand582,132,0.9994305372238159,0.000569462776184082,QFR57578.1,Klebsiella,MN434096
round4_cand187,132,0.9989962577819824,0.0010037422180175781,QFR57578.1,Klebsiella,MN434096
round4_cand36,132,0.9994220733642578,0.0005779266357421875,QFR57578.1,Klebsiella,MN434096
round4_cand264,132,0.999117374420166,0.0008826255798339844,QFR57578.1,Klebsiella,MN434096
round4_cand160,132,0.9990969896316528,0.000903010368347168,QFR57578.1,Klebsiella,MN434096
round4_cand128,132,0.9989814758300781,0.001018524169921875,QFR57578.1,Klebsiella,MN434096
round4_cand621,132,0.9994915723800659,0.000508427619934082,QFR57578.1,Klebsiella,MN434096
round4_cand49,132,0.9992988109588623,0.0007011890411376953,QFR57578.1,Klebsiella,MN434096
round4_cand82,132,0.9989426136016846,0.0010573863983154297,QFR57578.1,Klebsiella,MN434096
round4_cand103,132,0.9992207884788513,0.0007792115211486816,QFR57578.1,Klebsiella,MN434096
round4_cand118,132,0.999204158782959,0.0007958412170410156,QFR57578.1,Klebsiella,MN434096
round4_cand63,132,0.9993250966072083,0.000674903392791748,QFR57578.1,Klebsiella,MN434096
round4_cand399,132,0.9989330768585205,0.0010669231414794922,QFR57578.1,Klebsiella,MN434096
round4_cand58,132,0.9993621706962585,0.0006378293037414551,QFR57578.1,Klebsiella,MN434096
round4_cand38,132,0.9993438720703125,0.0006561279296875,QFR57578.1,Klebsiella,MN434096
round4_cand10,132,0.9993628263473511,0.0006371736526489258,QFR57578.1,Klebsiella,MN434096
round4_cand134,132,0.998865008354187,0.0011349916458129883,QFR57578.1,Klebsiella,MN434096
