candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand54,132,0.9991234540939331,0.0008765459060668945,QFR57578.1,Klebsiella,MN434096
round4_cand49,132,0.999336838722229,0.0006631612777709961,QFR57578.1,Klebsiella,MN434096
round4_cand38,132,0.9991133213043213,0.0008866786956787109,QFR57578.1,Klebsiella,MN434096
round4_cand29,132,0.9991917610168457,0.0008082389831542969,QFR57578.1,Klebsiella,MN434096
round4_cand19,132,0.9991714358329773,0.0008285641670227051,QFR57578.1,Klebsiella,MN434096
round4_cand8,132,0.9992070198059082,0.0007929801940917969,QFR57578.1,Klebsiella,MN434096
round4_cand58,132,0.9989931583404541,0.0010068416595458984,QFR57578.1,Klebsiella,MN434096
round4_cand241,132,0.998704195022583,0.0012958049774169922,QFR57578.1,Klebsiella,MN434096
round4_cand9,132,0.9988631010055542,0.0011368989944458008,QFR57578.1,Klebsiella,MN434096
round4_cand140,132,0.9984086751937866,0.001591324806213379,QFR57578.1,Klebsiella,MN434096
round4_cand26,132,0.9993573427200317,0.0006426572799682617,QFR57578.1,Klebsiella,MN434096
round4_cand1,132,0.9987493753433228,0.001250624656677246,QFR57578.1,Klebsiella,MN434096
round4_cand226,132,0.9987218379974365,0.0012781620025634766,QFR57578.1,Klebsiella,MN434096
round4_cand102,132,0.9992260336875916,0.0007739663124084473,QFR57578.1,Klebsiella,MN434096
round4_cand233,132,0.9987636804580688,0.0012363195419311523,QFR57578.1,Klebsiella,MN434096
round4_cand526,132,0.9984296560287476,0.0015703439712524414,QFR57578.1,Klebsiella,MN434096
round4_cand454,132,0.9991952180862427,0.0008047819137573242,QFR57578.1,Klebsiella,MN434096
round4_cand148,132,0.9987345933914185,0.001265406608581543,QFR57578.1,Klebsiella,MN434096
round4_cand94,132,0.9991004467010498,0.0008995532989501953,QFR57578.1,Klebsiella,MN434096
round4_cand56,132,0.9993667602539062,0.00063323974609375,QFR57578.1,Klebsiella,MN434096
round4_cand24,132,0.9989991188049316,0.0010008811950683594,QFR57578.1,Klebsiella,MN434096
round4_cand533,132,0.9983674883842468,0.0016325116157531738,QFR57578.1,Klebsiella,MN434096
round4_cand81,132,0.9993563890457153,0.000643610954284668,QFR57578.1,Klebsiella,MN434096
round4_cand305,132,0.9992904663085938,0.00070953369140625,QFR57578.1,Klebsiella,MN434096
round4_cand73,132,0.9991763830184937,0.0008236169815063477,QFR57578.1,Klebsiella,MN434096
round4_cand88,132,0.9990160465240479,0.0009839534759521484,QFR57578.1,Klebsiella,MN434096
round4_cand48,132,0.9986879825592041,0.0013120174407958984,QFR57578.1,Klebsiella,MN434096
round4_cand205,132,0.9988002777099609,0.0011997222900390625,QFR57578.1,Klebsiella,MN434096
round4_cand183,132,0.9980370998382568,0.001962900161743164,QFR57578.1,Klebsiella,MN434096
round4_cand248,132,0.9987794160842896,0.0012205839157104492,QFR57578.1,Klebsiella,MN434096
round4_cand568,132,0.9983728528022766,0.0016271471977233887,QFR57578.1,Klebsiella,MN434096
round4_cand559,132,0.9985027313232422,0.0014972686767578125,QFR57578.1,Klebsiella,MN434096
round4_cand75,132,0.9991088509559631,0.0008911490440368652,QFR57578.1,Klebsiella,MN434096
round4_cand4,132,0.9992104768753052,0.0007895231246948242,QFR57578.1,Klebsiella,MN434096
round4_cand5,132,0.9993835687637329,0.0006164312362670898,QFR57578.1,Klebsiella,MN434096
round4_cand23,132,0.9992858171463013,0.0007141828536987305,QFR57578.1,Klebsiella,MN434096
round4_cand203,132,0.9985806941986084,0.0014193058013916016,QFR57578.1,Klebsiella,MN434096
round4_cand83,132,0.9991533756256104,0.0008466243743896484,QFR57578.1,Klebsiella,MN434096
round4_cand10,132,0.9994668364524841,0.0005331635475158691,QFR57578.1,Klebsiella,MN434096
round4_cand119,132,0.9993401765823364,0.0006598234176635742,QFR57578.1,Klebsiella,MN434096
round4_cand61,132,0.9993417859077454,0.0006582140922546387,QFR57578.1,Klebsiella,MN434096
round4_cand238,132,0.998663067817688,0.0013369321823120117,QFR57578.1,Klebsiella,MN434096
round4_cand39,132,0.9993566274642944,0.0006433725357055664,QFR57578.1,Klebsiella,MN434096
round4_cand368,132,0.9988611936569214,0.0011388063430786133,QFR57578.1,Klebsiella,MN434096
round4_cand50,132,0.9993029832839966,0.000697016716003418,QFR57578.1,Klebsiella,MN434096
round4_cand121,132,0.9991985559463501,0.0008014440536499023,QFR57578.1,Klebsiella,MN434096
round4_cand247,132,0.9990326166152954,0.0009673833847045898,QFR57578.1,Klebsiella,MN434096
round4_cand421,132,0.9995729923248291,0.00042700767517089844,QFR57578.1,Klebsiella,MN434096
round4_cand572,132,0.9986633658409119,0.0013366341590881348,QFR57578.1,Klebsiella,MN434096
round4_cand234,132,0.9992855191230774,0.0007144808769226074,QFR57578.1,Klebsiella,MN434096
