candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand26,132,0.9980704188346863,0.0019295811653137207,QFR57578.1,Klebsiella,MN434096
round4_cand296,132,0.9986953735351562,0.00130462646484375,QFR57578.1,Klebsiella,MN434096
round4_cand160,132,0.9989685416221619,0.0010314583778381348,QFR57578.1,Klebsiella,MN434096
round4_cand230,132,0.9990149736404419,0.0009850263595581055,QFR57578.1,Klebsiella,MN434096
round4_cand335,132,0.9988987445831299,0.0011012554168701172,QFR57578.1,Klebsiella,MN434096
round4_cand82,132,0.9985249042510986,0.0014750957489013672,QFR57578.1,Klebsiella,MN434096
round4_cand502,132,0.9993658661842346,0.0006341338157653809,QFR57578.1,Klebsiella,MN434096
round4_cand422,132,0.9983770847320557,0.001622915267944336,QFR57578.1,Klebsiella,MN434096
round4_cand560,132,0.9992856383323669,0.0007143616676330566,QFR57578.1,Klebsiella,MN434096
round4_cand593,132,0.9988541007041931,0.0011458992958068848,QFR57578.1,Klebsiella,MN434096
round3_cand51,132,0.9990453720092773,0.0009546279907226562,QFR57578.1,Klebsiella,MN434096
round3_cand616,132,0.9994584321975708,0.0005415678024291992,QFR57578.1,Klebsiella,MN434096
round3_cand77,132,0.9994476437568665,0.0005523562431335449,QFR57578.1,Klebsiella,MN434096
round3_cand148,132,0.9988547563552856,0.0011452436447143555,QFR57578.1,Klebsiella,MN434096
round3_cand519,132,0.9996014833450317,0.0003985166549682617,QFR57578.1,Klebsiella,MN434096
round3_cand258,132,0.9994021654129028,0.000597834587097168,QFR57578.1,Klebsiella,MN434096
round3_cand329,132,0.999260425567627,0.0007395744323730469,QFR57578.1,Klebsiella,MN434096
round3_cand392,132,0.999617874622345,0.0003821253776550293,QFR57578.1,Klebsiella,MN434096
round3_cand219,132,0.9996362328529358,0.000363767147064209,QFR57578.1,Klebsiella,MN434096
round2_cand14,132,0.9996262192726135,0.0003737807273864746,QFR57578.1,Klebsiella,MN434096
round3_cand467,132,0.9993861317634583,0.000613868236541748,QFR57578.1,Klebsiella,MN434096
round2_cand79,132,0.999603807926178,0.0003961920738220215,QFR57578.1,Klebsiella,MN434096
round2_cand477,132,0.9998149871826172,0.0001850128173828125,QFR57578.1,Klebsiella,MN434096
round2_cand621,132,0.999869167804718,0.00013083219528198242,QFR57578.1,Klebsiella,MN434096
round2_cand229,132,0.9997847080230713,0.00021529197692871094,QFR57578.1,Klebsiella,MN434096
round2_cand185,132,0.999774158000946,0.00022584199905395508,QFR57578.1,Klebsiella,MN434096
round2_cand369,132,0.9996469020843506,0.00035309791564941406,QFR57578.1,Klebsiella,MN434096
round2_cand532,132,0.9996098279953003,0.00039017200469970703,QFR57578.1,Klebsiella,MN434096
round2_cand436,132,0.9998174905776978,0.0001825094223022461,QFR57578.1,Klebsiella,MN434096
round2_cand314,132,0.999880850315094,0.00011914968490600586,QFR57578.1,Klebsiella,MN434096
round4_cand45,132,0.9978251457214355,0.002174854278564453,QFR57578.1,Klebsiella,MN434096
round4_cand15,132,0.9978399276733398,0.0021600723266601562,QFR57578.1,Klebsiella,MN434096
round4_cand9,132,0.9985285997390747,0.001471400260925293,QFR57578.1,Klebsiella,MN434096
round4_cand34,132,0.9971930980682373,0.0028069019317626953,QFR57578.1,Klebsiella,MN434096
round4_cand25,132,0.9985191226005554,0.00148087739944458,QFR57578.1,Klebsiella,MN434096
round4_cand7,132,0.9983794689178467,0.0016205310821533203,QFR57578.1,Klebsiella,MN434096
round4_cand46,132,0.9983295202255249,0.0016704797744750977,QFR57578.1,Klebsiella,MN434096
round4_cand5,132,0.998140275478363,0.0018597245216369629,QFR57578.1,Klebsiella,MN434096
round4_cand19,132,0.9980846643447876,0.0019153356552124023,QFR57578.1,Klebsiella,MN434096
round4_cand33,132,0.9982714653015137,0.0017285346984863281,QFR57578.1,Klebsiella,MN434096
round4_cand17,132,0.9980427026748657,0.0019572973251342773,QFR57578.1,Klebsiella,MN434096
round4_cand54,132,0.9982765913009644,0.0017234086990356445,QFR57578.1,Klebsiella,MN434096
round4_cand18,132,0.998073935508728,0.0019260644912719727,QFR57578.1,Klebsiella,MN434096
round4_cand58,132,0.9984927177429199,0.0015072822570800781,QFR57578.1,Klebsiella,MN434096
round4_cand221,132,0.9989026784896851,0.0010973215103149414,QFR57578.1,Klebsiella,MN434096
round4_cand50,132,0.9984749555587769,0.0015250444412231445,QFR57578.1,Klebsiella,MN434096
round4_cand1,132,0.9981570839881897,0.0018429160118103027,QFR57578.1,Klebsiella,MN434096
round4_cand36,132,0.9983776807785034,0.001622319221496582,QFR57578.1,Klebsiella,MN434096
round4_cand257,132,0.9990963339805603,0.0009036660194396973,QFR57578.1,Klebsiella,MN434096
round4_cand318,132,0.9990141987800598,0.0009858012199401855,QFR57578.1,Klebsiella,MN434096
