candidate_id,nearest_neighbor_reference_index,nearest_neighbor_cosine_similarity,novelty_distance,nearest_neighbor_protein_id,nearest_neighbor_host_genus,nearest_neighbor_virus_accession
round4_cand180,132,0.998863935470581,0.0011360645294189453,QFR57578.1,Klebsiella,MN434096
round3_cand249,132,0.9996005892753601,0.0003994107246398926,QFR57578.1,Klebsiella,MN434096
round4_cand6,132,0.999153733253479,0.0008462667465209961,QFR57578.1,Klebsiella,MN434096
round4_cand219,132,0.9987492561340332,0.0012507438659667969,QFR57578.1,Klebsiella,MN434096
round4_cand7,132,0.9989821910858154,0.0010178089141845703,QFR57578.1,Klebsiella,MN434096
round4_cand90,132,0.9991048574447632,0.0008951425552368164,QFR57578.1,Klebsiella,MN434096
round4_cand63,132,0.9994313716888428,0.0005686283111572266,QFR57578.1,Klebsiella,MN434096
round4_cand135,132,0.9988532066345215,0.0011467933654785156,QFR57578.1,Klebsiella,MN434096
round4_cand65,132,0.999126136302948,0.000873863697052002,QFR57578.1,Klebsiella,MN434096
round4_cand197,132,0.9989572763442993,0.0010427236557006836,QFR57578.1,Klebsiella,MN434096
round4_cand189,132,0.9985769391059875,0.0014230608940124512,QFR57578.1,Klebsiella,MN434096
round4_cand114,132,0.9991415739059448,0.0008584260940551758,QFR57578.1,Klebsiella,MN434096
round4_cand286,132,0.9990456104278564,0.0009543895721435547,QFR57578.1,Klebsiella,MN434096
round4_cand319,132,0.9991451501846313,0.0008548498153686523,QFR57578.1,Klebsiella,MN434096
round4_cand110,132,0.9989719390869141,0.0010280609130859375,QFR57578.1,Klebsiella,MN434096
round4_cand432,132,0.9990667104721069,0.0009332895278930664,QFR57578.1,Klebsiella,MN434096
round4_cand577,132,0.9990004301071167,0.0009995698928833008,QFR57578.1,Klebsiella,MN434096
round4_cand183,132,0.9991283416748047,0.0008716583251953125,QFR57578.1,Klebsiella,MN434096
round4_cand567,132,0.9991545677185059,0.0008454322814941406,QFR57578.1,Klebsiella,MN434096
round4_cand83,132,0.9992722272872925,0.0007277727127075195,QFR57578.1,Klebsiella,MN434096
round4_cand247,132,0.9986788630485535,0.0013211369514465332,QFR57578.1,Klebsiella,MN434096
round4_cand228,132,0.999040961265564,0.0009590387344360352,QFR57578.1,Klebsiella,MN434096
round4_cand207,132,0.9989691972732544,0.0010308027267456055,QFR57578.1,Klebsiella,MN434096
round4_cand438,132,0.9991000890731812,0.0008999109268188477,QFR57578.1,Klebsiella,MN434096
round4_cand76,132,0.9992450475692749,0.0007549524307250977,QFR57578.1,Klebsiella,MN434096
round4_cand330,132,0.9990323781967163,0.0009676218032836914,QFR57578.1,Klebsiella,MN434096
round4_cand145,132,0.9990493059158325,0.0009506940841674805,QFR57578.1,Klebsiella,MN434096
round4_cand638,132,0.9993187189102173,0.0006812810897827148,QFR57578.1,Klebsiella,MN434096
round4_cand225,132,0.9990530014038086,0.0009469985961914062,QFR57578.1,Klebsiella,MN434096
round4_cand53,132,0.9993265867233276,0.0006734132766723633,QFR57578.1,Klebsiella,MN434096
round4_cand255,132,0.9989216327667236,0.0010783672332763672,QFR57578.1,Klebsiella,MN434096
round4_cand503,132,0.9992986917495728,0.0007013082504272461,QFR57578.1,Klebsiella,MN434096
round4_cand202,132,0.9988338947296143,0.0011661052703857422,QFR57578.1,Klebsiella,MN434096
round4_cand14,132,0.9992082118988037,0.0007917881011962891,QFR57578.1,Klebsiella,MN434096
round4_cand111,132,0.9989604949951172,0.0010395050048828125,QFR57578.1,Klebsiella,MN434096
round4_cand211,132,0.9988858699798584,0.0011141300201416016,QFR57578.1,Klebsiella,MN434096
round4_cand87,132,0.9988999366760254,0.0011000633239746094,QFR57578.1,Klebsiella,MN434096
round4_cand226,132,0.9990397095680237,0.0009602904319763184,QFR57578.1,Klebsiella,MN434096
round4_cand54,132,0.9991570115089417,0.0008429884910583496,QFR57578.1,Klebsiella,MN434096
round4_cand288,132,0.9991011619567871,0.0008988380432128906,QFR57578.1,Klebsiella,MN434096
round4_cand445,132,0.9991724491119385,0.0008275508880615234,QFR57578.1,Klebsiella,MN434096
round4_cand163,132,0.9987701773643494,0.0012298226356506348,QFR57578.1,Klebsiella,MN434096
round4_cand471,132,0.999309778213501,0.0006902217864990234,QFR57578.1,Klebsiella,MN434096
round4_cand501,132,0.9993107318878174,0.0006892681121826172,QFR57578.1,Klebsiella,MN434096
round4_cand27,132,0.9992367029190063,0.0007632970809936523,QFR57578.1,Klebsiella,MN434096
round4_cand441,132,0.9992293119430542,0.0007706880569458008,QFR57578.1,Klebsiella,MN434096
round4_cand480,132,0.9992635250091553,0.0007364749908447266,QFR57578.1,Klebsiella,MN434096
round4_cand171,132,0.9992274641990662,0.0007725358009338379,QFR57578.1,Klebsiella,MN434096
round4_cand361,132,0.9993282556533813,0.0006717443466186523,QFR57578.1,Klebsiella,MN434096
round4_cand627,132,0.9993133544921875,0.0006866455078125,QFR57578.1,Klebsiella,MN434096
